Unnamed: 0,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,Predicted Total,Predicted Brooklyn Bridge,Predicted Manhattan Bridge,Predicted Williamsburg Bridge,Predicted Queensboro Bridge
0,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085,3310.306125163038,5873.416665312765,7105.39645065374,4505.148083729888
1,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577,1326.2802517408675,2474.9246370965275,3283.6545528291535,2368.1211900111384
2,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283,1143.0959891033947,2136.658124720581,2718.817903763214,2076.8287653345947
3,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204,453.9466226704455,889.7156524026019,1394.8908567009514,1159.62655102248
4,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517,1664.7731155073338,3003.2200612681177,3504.252125793774,2661.6188855543196
5,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009,1753.7739286501862,3163.3596886949767,3708.8073471131142,2770.7712782053936
6,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052,1603.5037610465733,2972.3148387028477,3838.7914317149057,2687.178826178291
7,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199,1608.542203944685,2971.728671907753,3657.544464058058,2628.632367102568
8,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524,1211.1585758635745,2262.377800665755,2890.8859249860348,2171.09402720193
9,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697,1947.9324140080007,3483.395949877363,4049.6750354423248,2992.811360893435
10,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999,2453.4341102597964,4369.1160848320715,5174.70537282046,3580.2461637618294
11,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162,1262.3106598700742,2343.8881256339673,3141.7852021032527,2306.775218207459
12,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609,2287.520314029142,4074.1369238135685,4769.138704486258,3382.1411717809883
13,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902,2550.8524052005814,4523.062347621638,5300.04850445646,3671.629370909297
14,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164,2705.080126926103,4767.710494875187,5545.927362141462,3831.157245203921
15,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194,2844.675715595771,4995.87720198143,5794.9138765428515,3976.389024803383
16,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357,3542.2454134098207,6103.437290701425,6939.92416785748,4668.7428082947845
17,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444,4140.51079612995,7082.937143188763,8050.121425076993,5249.3417977599665
18,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643,2850.2219705127327,5114.062043382366,6214.781316278228,4022.8114428177514
19,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338,2894.4009075061253,5105.629987887008,5988.990360071011,4038.374278983866
20,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917,3164.4981094340455,5536.225355265503,6434.845612565715,4309.8797377115925
21,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672,3486.3421043943144,6140.0163392998975,7308.739854294659,4659.500730523735
22,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437,1802.2562667728382,3313.7539367633785,4409.785891677671,2989.192370932774
23,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603,2941.35419678631,5168.31522508378,6021.137988801911,4081.4269219103376
24,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353,2715.3934806709854,4841.415166711451,5776.146606798662,3863.3887606150975
25,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578,1216.7396516029692,2263.3395057915077,3098.0279352704033,2269.8657382689476
26,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091,2504.081127857191,4460.03194392125,5267.519269967469,3627.1253024563543
27,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205,2199.4285234317003,3969.9134406407834,4765.159150497454,3301.74655064321
28,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314,1882.8264961301518,3426.420568378597,4231.251811104332,2981.6866102463327
29,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872,2621.514635780542,4655.598783576684,5488.3334941313715,3752.7474189335007
30,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085,3310.306125163038,5873.416665312765,7105.39645065374,4505.148083729888
31,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577,1326.2802517408675,2474.9246370965275,3283.6545528291535,2368.1211900111384
32,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283,1143.0959891033947,2136.658124720581,2718.817903763214,2076.8287653345947
33,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204,453.9466226704455,889.7156524026019,1394.8908567009514,1159.62655102248
34,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517,1664.7731155073338,3003.2200612681177,3504.252125793774,2661.6188855543196
35,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009,1753.7739286501862,3163.3596886949767,3708.8073471131142,2770.7712782053936
36,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052,1603.5037610465733,2972.3148387028477,3838.7914317149057,2687.178826178291
37,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199,1608.542203944685,2971.728671907753,3657.544464058058,2628.632367102568
38,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524,1211.1585758635745,2262.377800665755,2890.8859249860348,2171.09402720193
39,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697,1947.9324140080007,3483.395949877363,4049.6750354423248,2992.811360893435
40,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999,2453.4341102597964,4369.1160848320715,5174.70537282046,3580.2461637618294
41,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162,1262.3106598700742,2343.8881256339673,3141.7852021032527,2306.775218207459
42,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609,2287.520314029142,4074.1369238135685,4769.138704486258,3382.1411717809883
43,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902,2550.8524052005814,4523.062347621638,5300.04850445646,3671.629370909297
44,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164,2705.080126926103,4767.710494875187,5545.927362141462,3831.157245203921
45,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194,2844.675715595771,4995.87720198143,5794.9138765428515,3976.389024803383
46,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357,3542.2454134098207,6103.437290701425,6939.92416785748,4668.7428082947845
47,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444,4140.51079612995,7082.937143188763,8050.121425076993,5249.3417977599665
48,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643,2850.2219705127327,5114.062043382366,6214.781316278228,4022.8114428177514
49,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338,2894.4009075061253,5105.629987887008,5988.990360071011,4038.374278983866
50,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917,3164.4981094340455,5536.225355265503,6434.845612565715,4309.8797377115925
51,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672,3486.3421043943144,6140.0163392998975,7308.739854294659,4659.500730523735
52,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437,1802.2562667728382,3313.7539367633785,4409.785891677671,2989.192370932774
53,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603,2941.35419678631,5168.31522508378,6021.137988801911,4081.4269219103376
54,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353,2715.3934806709854,4841.415166711451,5776.146606798662,3863.3887606150975
55,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578,1216.7396516029692,2263.3395057915077,3098.0279352704033,2269.8657382689476
56,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091,2504.081127857191,4460.03194392125,5267.519269967469,3627.1253024563543
57,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205,2199.4285234317003,3969.9134406407834,4765.159150497454,3301.74655064321
58,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314,1882.8264961301518,3426.420568378597,4231.251811104332,2981.6866102463327
59,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872,2621.514635780542,4655.598783576684,5488.3334941313715,3752.7474189335007
60,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085,3310.306125163038,5873.416665312765,7105.39645065374,4505.148083729888
61,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577,1326.2802517408675,2474.9246370965275,3283.6545528291535,2368.1211900111384
62,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283,1143.0959891033947,2136.658124720581,2718.817903763214,2076.8287653345947
63,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204,453.9466226704455,889.7156524026019,1394.8908567009514,1159.62655102248
64,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517,1664.7731155073338,3003.2200612681177,3504.252125793774,2661.6188855543196
65,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009,1753.7739286501862,3163.3596886949767,3708.8073471131142,2770.7712782053936
66,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052,1603.5037610465733,2972.3148387028477,3838.7914317149057,2687.178826178291
67,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199,1608.542203944685,2971.728671907753,3657.544464058058,2628.632367102568
68,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524,1211.1585758635745,2262.377800665755,2890.8859249860348,2171.09402720193
69,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697,1947.9324140080007,3483.395949877363,4049.6750354423248,2992.811360893435
70,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999,2453.4341102597964,4369.1160848320715,5174.70537282046,3580.2461637618294
71,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162,1262.3106598700742,2343.8881256339673,3141.7852021032527,2306.775218207459
72,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609,2287.520314029142,4074.1369238135685,4769.138704486258,3382.1411717809883
73,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902,2550.8524052005814,4523.062347621638,5300.04850445646,3671.629370909297
74,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164,2705.080126926103,4767.710494875187,5545.927362141462,3831.157245203921
75,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194,2844.675715595771,4995.87720198143,5794.9138765428515,3976.389024803383
76,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357,3542.2454134098207,6103.437290701425,6939.92416785748,4668.7428082947845
77,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444,4140.51079612995,7082.937143188763,8050.121425076993,5249.3417977599665
78,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643,2850.2219705127327,5114.062043382366,6214.781316278228,4022.8114428177514
79,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338,2894.4009075061253,5105.629987887008,5988.990360071011,4038.374278983866
80,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917,3164.4981094340455,5536.225355265503,6434.845612565715,4309.8797377115925
81,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672,3486.3421043943144,6140.0163392998975,7308.739854294659,4659.500730523735
82,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437,1802.2562667728382,3313.7539367633785,4409.785891677671,2989.192370932774
83,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603,2941.35419678631,5168.31522508378,6021.137988801911,4081.4269219103376
84,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353,2715.3934806709854,4841.415166711451,5776.146606798662,3863.3887606150975
85,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578,1216.7396516029692,2263.3395057915077,3098.0279352704033,2269.8657382689476
86,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091,2504.081127857191,4460.03194392125,5267.519269967469,3627.1253024563543
87,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205,2199.4285234317003,3969.9134406407834,4765.159150497454,3301.74655064321
88,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314,1882.8264961301518,3426.420568378597,4231.251811104332,2981.6866102463327
89,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872,2621.514635780542,4655.598783576684,5488.3334941313715,3752.7474189335007
90,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085,3310.306125163038,5873.416665312765,7105.39645065374,4505.148083729888
91,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577,1326.2802517408675,2474.9246370965275,3283.6545528291535,2368.1211900111384
92,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283,1143.0959891033947,2136.658124720581,2718.817903763214,2076.8287653345947
93,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204,453.9466226704455,889.7156524026019,1394.8908567009514,1159.62655102248
94,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517,1664.7731155073338,3003.2200612681177,3504.252125793774,2661.6188855543196
95,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009,1753.7739286501862,3163.3596886949767,3708.8073471131142,2770.7712782053936
96,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052,1603.5037610465733,2972.3148387028477,3838.7914317149057,2687.178826178291
97,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199,1608.542203944685,2971.728671907753,3657.544464058058,2628.632367102568
98,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524,1211.1585758635745,2262.377800665755,2890.8859249860348,2171.09402720193
99,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697,1947.9324140080007,3483.395949877363,4049.6750354423248,2992.811360893435
100,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999,2453.4341102597964,4369.1160848320715,5174.70537282046,3580.2461637618294
101,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162,1262.3106598700742,2343.8881256339673,3141.7852021032527,2306.775218207459
102,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609,2287.520314029142,4074.1369238135685,4769.138704486258,3382.1411717809883
103,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902,2550.8524052005814,4523.062347621638,5300.04850445646,3671.629370909297
